Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Angle(rad),Data Set 1:Velocity(rad/s),Data Set 1:Acceleration(rad/s²),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Angle(rad),Data Set 2:Velocity(rad/s),Data Set 2:Acceleration(rad/s²),Data Set 3:Time(s),Data Set 3:Force(N),Data Set 3:Angle(rad),Data Set 3:Velocity(rad/s),Data Set 3:Acceleration(rad/s²),Data Set 4:Time(s),Data Set 4:Force(N),Data Set 4:Angle(rad),Data Set 4:Velocity(rad/s),Data Set 4:Acceleration(rad/s²),Data Set 5:Time(s),Data Set 5:Force(N),Data Set 5:Angle(rad),Data Set 5:Velocity(rad/s),Data Set 5:Acceleration(rad/s²),Data Set 6:Time(s),Data Set 6:Force(N),Data Set 6:Angle(rad),Data Set 6:Velocity(rad/s),Data Set 6:Acceleration(rad/s²),Data Set 7:Time(s),Data Set 7:Force(N),Data Set 7:Angle(rad),Data Set 7:Velocity(rad/s),Data Set 7:Acceleration(rad/s²),Data Set 8:Time(s),Data Set 8:Force(N),Data Set 8:Angle(rad),Data Set 8:Velocity(rad/s),Data Set 8:Acceleration(rad/s²),Data Set 9:Time(s),Data Set 9:Force(N),Data Set 9:Angle(rad),Data Set 9:Velocity(rad/s),Data Set 9:Acceleration(rad/s²),Data Set 10:Time(s),Data Set 10:Force(N),Data Set 10:Angle(rad),Data Set 10:Velocity(rad/s),Data Set 10:Acceleration(rad/s²),Data Set 11:Time(s),Data Set 11:Force(N),Data Set 11:Angle(rad),Data Set 11:Velocity(rad/s),Data Set 11:Acceleration(rad/s²),Data Set 12:Time(s),Data Set 12:Force(N),Data Set 12:Angle(rad),Data Set 12:Velocity(rad/s),Data Set 12:Acceleration(rad/s²),Data Set 13:Time(s),Data Set 13:Force(N),Data Set 13:Angle(rad),Data Set 13:Velocity(rad/s),Data Set 13:Acceleration(rad/s²)
0.5,0.096699973015347496,0,0,0,0.5,0.096699973015347496,0,0,0,0.5,0.096699973015347496,0,0,0,0.5,0.096699973015347496,0,0,0,0.5,0.10316941037308425,0,0,0,0.5,0.090611090796301141,0,0,0,0.5,0.14655269618378952,0,0,0,0.5,0.078052771219518036,0.017453286279273523,0.31512878004243838,-3.0637520281903736,0.5,0.096699973015347496,0.034906572558547046,-0.43633215698183786,-12.793689788047708,0.5,3.1304855386551935,-0.48869201581965871,-1.4301998478849123,21.984945872618852,0.5,0.053316687204642221,0,-0.024240675387879884,-2.9627492140742064,0.5,1.3711791324894875,-0.19198614907200878,-0.50905418314547723,-3.0637520281903612,0.5,0.028580603189766407,0,0,0
0.52000000000000002,0.096699973015347496,0,0,0,0.52000000000000002,0.090611090796301141,0,0,0,0.52000000000000002,0.096699973015347496,0,0,0,0.52000000000000002,0.096699973015347496,0,0,0,0.52000000000000002,0.090611090796301141,0,0,0,0.52000000000000002,0.090611090796301141,0,0,0,0.52000000000000002,0.14655269618378952,0,0,0,0.52000000000000002,0.084522208577254787,0.017453286279273523,0.096962701551519523,-5.0838083105136933,0.52000000000000002,0.096699973015347496,0.017453286279273523,-0.75146093702427608,-10.87463631984056,0.52000000000000002,3.6712543907342479,-0.50614530209893216,-1.0181083662909545,13.80371792920935,0.52000000000000002,0.059405569423688576,0,-0.096962701551519523,-5.1174759152190843,0.52000000000000002,1.5576511504477821,-0.20943943535128229,-0.67873891086063642,-1.1446985599832242,0.52000000000000002,0.028580603189766407,0,0,0
0.54000000000000004,0.096699973015347496,0,0,0,0.54000000000000004,0.090611090796301141,0,0,0,0.54000000000000004,0.096699973015347496,0,0,0,0.54000000000000004,0.096699973015347496,0,0,0,0.54000000000000004,0.096699973015347496,0,0,0,0.54000000000000004,0.096699973015347496,0,0,0,0.54000000000000004,0.14046381396474317,0,0,0,0.54000000000000004,0.084522208577254787,0.017453286279273523,0.024240675387879895,-2.9627492140742073,0.54000000000000004,0.096699973015347496,0,-0.87266431396367583,-8.7872448281064859,0.54000000000000004,3.994345703482395,-0.52359858837820572,-0.89690498935155649,5.4541519622729462,0.54000000000000004,0.059405569423688576,0,-0.31512878004243844,-3.2994252611281012,0.54000000000000004,1.7566814879828598,-0.22689272163055582,-0.53329485853335756,-0.1346704188215754,0.54000000000000004,0.028580603189766407,0,0,0
0.56000000000000005,0.096699973015347496,0,0,0,0.56000000000000005,0.090611090796301141,0,0,0,0.56000000000000005,0.096699973015347496,0,0,0,0.56000000000000005,0.096699973015347496,0,0,0,0.56000000000000005,0.096699973015347496,0,0,0,0.56000000000000005,0.096699973015347496,0,0,-0.033667604705388744,0.56000000000000005,0.14046381396474317,0,0,0.033667604705388744,0.56000000000000005,0.078052771219518036,0.017453286279273523,0,-1.1446985599832176,0.56000000000000005,0.1092582925921306,-0.017453286279273523,-0.99386769090307647,-11.110309552778318,0.56000000000000005,4.2493176464049611,-0.54105187465747928,-0.87266431396367672,-0.33667604705389848,0.56000000000000005,0.071963889000471681,-0.017453286279273523,-0.31512878004243911,1.885385863501772,0.56000000000000005,1.9804479095328134,-0.22689272163055582,-0.55753553392123811,-4.2421181928789968,0.56000000000000005,0.034669485408812761,0,0,0
0.57999999999999996,0.096699973015347496,0,0,0,0.57999999999999996,0.090611090796301141,0,0,0,0.57999999999999996,0.096699973015347496,0,0,0,0.57999999999999996,0.096699973015347496,0,0,0,0.57999999999999996,0.096699973015347496,0,0,0,0.57999999999999996,0.090611090796301141,0,0,-0.23567323293772113,0.57999999999999996,0.14046381396474317,0,0,0.2693408376431099,0.57999999999999996,0.084522208577254787,0.017453286279273523,0,-0.23567323293772116,0.57999999999999996,0.11534717481117696,-0.034906572558547046,-1.3089964709455157,-13.904720743325548,0.57999999999999996,4.4483479839400388,-0.55850516093675273,-0.89690498935155671,-7.5078758493016906,0.57999999999999996,0.071963889000471681,-0.017453286279273523,-0.12120337693939949,1.8853858635017808,0.57999999999999996,2.2475976168934721,-0.24434600790982935,-0.77570161241215729,-5.3194815434514124,0.57999999999999996,0.034669485408812761,0,0,0
0.59999999999999998,0.096699973015347496,0,0,0,0.59999999999999998,0.090611090796301141,0,0,0,0.59999999999999998,0.096699973015347496,0,0,0,0.59999999999999998,0.096699973015347496,0,0,0,0.59999999999999998,0.090611090796301141,0,0,0,0.59999999999999998,0.096699973015347496,0,0,-1.1446985599832165,0.59999999999999998,0.14046381396474317,0,0,1.380371792920938,0.59999999999999998,0.078052771219518036,0.017453286279273523,0,-0.033667604705388744,0.59999999999999998,0.16519989797961898,-0.069813145117094091,-1.6483659263758323,-12.187672903350679,0.59999999999999998,4.6782032877090387,-0.57595844721602629,-1.0423490416788361,-21.580934616154153,0.59999999999999998,0.071963889000471681,-0.017453286279273523,-0.12120337693939949,-3.299425261128087,0.59999999999999998,2.5524222829844803,-0.26179929418910286,-0.84842363857579561,-2.9964168187795788,0.59999999999999998,0.028580603189766407,0,0,0
0.62,0.096699973015347496,0,0,0,0.62,0.090611090796301141,0,0,0,0.62,0.096699973015347496,0,0,0,0.62,0.096699973015347496,0,0,0,0.62,0.090611090796301141,0,0,0,0.62,0.096699973015347496,0,-0.024240675387879895,-2.962749214074206,0.62,0.14046381396474317,0,0.024240675387879895,4.107447774057424,0.62,0.078052771219518036,0.017453286279273523,0,0,0.62,0.25843590695876628,-0.10471971767564114,-1.8180506540909906,-8.0465575245878878,0.62,4.4232313447864726,-0.59341173349529985,-1.5998845756000721,-43.397542465246026,0.62,0.078052771219518036,-0.017453286279273523,-0.33936945543031821,-5.1174759152190799,0.62,2.8755135957326274,-0.27925258046837637,-0.87266431396367572,-1.144698559983216,0.62,0.028580603189766407,0,0,0
0.64000000000000001,0.090611090796301141,0,0,0,0.64000000000000001,0.090611090796301141,0,0,0,0.64000000000000001,0.096699973015347496,0,0,0,0.64000000000000001,0.096699973015347496,0,0,0,0.64000000000000001,0.084522208577254787,0,0,0.033667604705388744,0.64000000000000001,0.10316941037308425,0,-0.096962701551519495,-5.0838083105136951,0.64000000000000001,0.13399437660700642,0,0.12120337693939941,8.0465575245879055,0.64000000000000001,0.084522208577254787,0.017453286279273523,0,0,0.64000000000000001,0.4822023285087198,-0.13962629023418818,-2.0362167325819098,-0.067335209410800775,0.64000000000000001,4.0502873088698834,-0.62831830605384686,-2.787677669606186,-64.406127801408658,0.64000000000000001,0.090611090796301141,-0.034906572558547046,-0.41209148159395786,-2.9290816093688252,0.64000000000000001,3.2172521102766041,-0.29670586674764993,-0.87266431396367583,-0.20200562823233872,0.64000000000000001,0.028580603189766407,0,0,0
0.66000000000000003,0.090611090796301141,0,0,0,0.66000000000000003,0.090611090796301141,0,0,0,0.66000000000000003,0.096699973015347496,0,0,0,0.66000000000000003,0.096699973015347496,0,0,0,0.66000000000000003,0.090611090796301141,0,0,0.23567323293772127,0.66000000000000003,0.1092582925921306,0,-0.31512878004243844,-3.0637520281903803,0.66000000000000003,0.12790549438796006,0,0.41209148159395803,8.1475603387040856,0.66000000000000003,0.084522208577254787,0.017453286279273523,0,0,0.66000000000000003,0.9358240538276732,-0.19198614907200878,-1.9392540310303914,12.490681345699173,0.66000000000000003,3.9696096194675192,-0.698131451170941,-4.3633215698183809,-75.954116215357118,0.66000000000000003,0.090611090796301141,-0.034906572558547046,-0.43633215698183808,-0.94269293175089841,0.66000000000000003,3.5034295745717827,-0.31415915302692343,-0.8726643139636755,0.20200562823230298,0.66000000000000003,0.028580603189766407,0,0,0
0.68000000000000005,0.096699973015347496,0,0,0,0.68000000000000005,0.090611090796301141,0,0,0,0.68000000000000005,0.090611090796301141,0,0,0,0.68000000000000005,0.096699973015347496,0,0,0,0.68000000000000005,0.090611090796301141,0,0,1.1446985599832178,0.68000000000000005,0.1092582925921306,-0.017453286279273523,-0.31512878004243911,3.0300844234849897,0.68000000000000005,0.11534717481117696,0.017453286279273523,0.63025756008487821,8.6736173798840512e-15,0.68000000000000005,0.096699973015347496,0.017453286279273523,0,-0.033667604705388744,0.68000000000000005,1.6075038736162242,-0.22689272163055582,-1.4059591724970355,18.752855820901544,0.68000000000000005,1.9305951863643713,-0.80285116884658214,-6.0116874961942202,-77.267152798867357,0.68000000000000005,0.090611090796301141,-0.052359858837820572,-0.43633215698183864,0.70701969881315774,0.68000000000000005,3.6088433479890227,-0.33161243930619694,-0.8726643139636775,1.1446985599831896,0.68000000000000005,0.028580603189766407,0,0,0
0.69999999999999996,0.096699973015347496,0,0,0,0.69999999999999996,0.090611090796301141,0,0,0,0.69999999999999996,0.096699973015347496,0,0,0,0.69999999999999996,0.096699973015347496,0,0,0,0.69999999999999996,0.090611090796301141,0,0.024240675387879895,2.9964168187796001,0.69999999999999996,0.1092582925921306,-0.017453286279273523,-0.096962701551519606,4.8481350775759919,0.69999999999999996,0.1092582925921306,0.034906572558547046,0.4120914815939587,-8.147560338704098,0.69999999999999996,0.090611090796301141,0.017453286279273523,0,-0.23567323293772113,0.69999999999999996,2.3533919454494026,-0.24434600790982935,-0.99386769090307625,15.655436188005813,0.69999999999999996,0.78664643946103752,-0.9424774590807703,-7.4903686948548964,-74.506409213025236,0.69999999999999996,0.090611090796301141,-0.052359858837820572,-0.41209148159395864,1.9863886776179474,0.69999999999999996,3.8451680891157594,-0.3490657255854705,-0.84842363857579761,2.9627492140742224,0.69999999999999996,0.028580603189766407,0,0,0
0.71999999999999997,0.096699973015347496,0,0,0,0.71999999999999997,0.090611090796301141,0,0,0,0.71999999999999997,0.096699973015347496,0,0,0,0.71999999999999997,0.096699973015347496,0,0,0,0.71999999999999997,0.090611090796301141,0,0.096962701551519606,5.3531491481568034,0.71999999999999997,0.11534717481117696,-0.017453286279273523,-0.024240675387879895,1.7843830493856052,0.71999999999999997,0.1092582925921306,0.034906572558547046,0.12120337693939949,-8.0465575245879162,0.71999999999999997,0.090611090796301141,0.017453286279273523,0,-1.1783661646886054,0.71999999999999997,2.9561912851349916,-0.26179929418910286,-0.79994228780003562,11.985667275118407,0.71999999999999997,0.34558303371886723,-1.0995570355942321,-9.0417719196791992,-67.941226295474209,0.71999999999999997,0.096699973015347496,-0.069813145117094091,-0.36361013081819821,3.0637520281903825,0.71999999999999997,4.0441984266508371,-0.366519011864744,-0.77570161241215685,5.08380831051372,0.71999999999999997,0.028580603189766407,0,0,-0.033667604705388744
0.73999999999999999,0.096699973015347496,0,0,0,0.73999999999999999,0.090611090796301141,0,0,0,0.73999999999999999,0.096699973015347496,0,0,0,0.73999999999999999,0.096699973015347496,0,0,0,0.73999999999999999,0.090611090796301141,0,0.31512878004243833,4.4441238211113072,0.73999999999999999,0.1092582925921306,-0.017453286279273523,-0.024240675387879895,-2.0873914917340985,0.73999999999999999,0.10316941037308425,0.034906572558547046,0.024240675387879895,-4.1411153787628159,0.73999999999999999,0.090611090796301141,0.017453286279273523,-0.024240675387879895,-3.2320900517173161,0.73999999999999999,3.4223713300307281,-0.27925258046837637,-0.53329485853335712,8.8209124328118325,0.73999999999999999,0.18384709977544844,-1.3089964709455144,-10.326527715236828,-55.080201298015794,0.73999999999999999,0.096699973015347496,-0.069813145117094091,-0.19392540310303905,5.3969174808167308e-16,0.73999999999999999,4.2493176464049611,-0.38397229814401757,-0.55753553392123767,2.9627492140742255,0.73999999999999999,0.034669485408812761,0,0,-0.23567323293772113
0.76000000000000001,0.096699973015347496,0,0,0,0.76000000000000001,0.090611090796301141,0,0,0,0.76000000000000001,0.096699973015347496,0,0,0,0.76000000000000001,0.096699973015347496,0,0,0,0.76000000000000001,0.090611090796301141,0.017453286279273523,0.33936945543031821,1.0773633505724474,0.76000000000000001,0.096699973015347496,-0.017453286279273523,-0.096962701551519495,-6.2621744752023032,0.76000000000000001,0.1092582925921306,0.034906572558547046,0,-1.6160450258586596,0.76000000000000001,0.090611090796301141,0.017453286279273523,-0.096962701551519495,-6.4978477081400241,0.76000000000000001,3.7146376765449531,-0.27925258046837637,-0.43633215698183836,5.3194815434514,0.76000000000000001,0.12181661216891371,-1.5184359062967967,-11.271914055364141,-39.896111575885755,0.76000000000000001,0.096699973015347496,-0.069813145117094091,-0.36361013081819832,-3.0974196328957659,0.76000000000000001,4.2991703695734031,-0.38397229814401757,-0.557535533921237,-3.8717745411196951,0.76000000000000001,0.034669485408812761,0,0,-1.1446985599832173
0.78000000000000003,0.096699973015347496,0,0,0,0.78000000000000003,0.090611090796301141,0,0,0,0.78000000000000003,0.096699973015347496,0,0,0,0.78000000000000003,0.096699973015347496,0,0,0,0.78000000000000003,0.084522208577254787,0.017453286279273523,0.2181660784909191,3.1984224470119464,0.78000000000000003,0.1092582925921306,-0.017453286279273523,-0.33936945543031838,-7.4405406398909184,0.78000000000000003,0.11534717481117696,0.034906572558547046,0,-1.414039397626327,0.78000000000000003,0.096699973015347496,0.017453286279273523,-0.33936945543031838,-7.4405406398909184,0.78000000000000003,3.9262263336568139,-0.29670586674764993,-0.36361013081819893,3.2994252611280932,0.78000000000000003,0.10316941037308425,-1.7627819142066259,-11.974893641612665,-21.782940244386932,0.78000000000000003,0.096699973015347496,-0.087266431396367625,-0.4120914815939582,-2.222061910555666,0.78000000000000003,4.6036144805257209,-0.40142558442329107,-0.77570161241215585,-9.3259265033927026,0.78000000000000003,0.034669485408812761,0,-0.024240675387879895,-2.9627492140742109
0.80000000000000004,0.096699973015347496,0,0,0,0.80000000000000004,0.096699973015347496,0,0,0,0.80000000000000004,0.090611090796301141,0,0,0,0.80000000000000004,0.096699973015347496,0,0,0,0.80000000000000004,0.084522208577254787,0.017453286279273523,0.43633215698183864,6.3631772893184966,0.80000000000000004,0.1092582925921306,-0.034906572558547046,-0.43633215698183864,-6.6325181269615952,0.80000000000000004,0.1092582925921306,0.034906572558547046,-0.024240675387879895,-3.0300844234849884,0.80000000000000004,0.096699973015347496,0,-0.43633215698183864,-6.4305124987292617,0.80000000000000004,4.0940511498192791,-0.29670586674764993,-0.21816607849091918,-2.0873914917340941,0.80000000000000004,0.096699973015347496,-2.0071279221164553,-12.144578369327844,-3.5014308893606603,0.80000000000000004,0.096699973015347496,-0.087266431396367625,-0.43633215698183858,-1.9190534682071647,0.80000000000000004,4.9518224324274343,-0.41887887070256458,-0.92114566473943704,-16.09311504917585,0.80000000000000004,0.028580603189766407,0,-0.096962701551519606,-5.0838083105137128
0.81999999999999995,0.090611090796301141,0,0,0,0.81999999999999995,0.090611090796301141,0,0,0,0.81999999999999995,0.096699973015347496,0,0,0,0.81999999999999995,0.090611090796301141,0,0,0,0.81999999999999995,0.090611090796301141,0.034906572558547046,0.65449823547275809,2.0537238870287076,0.81999999999999995,0.1092582925921306,-0.034906572558547046,-0.53329485853335823,-8.618906804579515,0.81999999999999995,0.10316941037308425,0.034906572558547046,-0.096962701551519606,-5.3531491481568132,0.81999999999999995,0.096699973015347496,0,-0.53329485853335823,-7.6762138728286287,0.81999999999999995,4.28661204999662,-0.29670586674764993,-0.43633215698183819,-7.8108842916501802,0.81999999999999995,0.090611090796301141,-2.2514739300262847,-12.071856343164201,12.591684159815699,0.81999999999999995,0.096699973015347496,-0.10471971767564114,-0.46057283236971847,-2.5250703529041476,0.81999999999999995,4.3924063785525504,-0.43633215698183814,-1.2362744447818759,-29.492821721920539,0.81999999999999995,0.034669485408812761,0,-0.31512878004243911,-3.0637520281903785
0.83999999999999997,0.090611090796301141,0,0,0,0.83999999999999997,0.090611090796301141,0,0,0,0.83999999999999997,0.090611090796301141,0,0,0,0.83999999999999997,0.096699973015347496,0,0,0,0.83999999999999997,0.078052771219518036,0.052359858837820572,0.50905418314547779,-2.1210590964395091,0.83999999999999997,0.1092582925921306,-0.052359858837820572,-0.79994228780003629,-9.7299377598573233,0.83999999999999997,0.1092582925921306,0.034906572558547046,-0.31512878004243844,-4.4777914258166964,0.83999999999999997,0.096699973015347496,-0.017453286279273523,-0.77570161241215629,-7.6762138728286091,0.83999999999999997,4.5975255983066745,-0.31415915302692343,-0.6787389108606362,-8.1475603387040607,0.83999999999999997,0.096699973015347496,-2.4958199379361141,-11.635524186182344,27.270759811365252,0.83999999999999997,0.096699973015347496,-0.10471971767564114,-0.50905418314547768,-4.7471322634597923,0.83999999999999997,4.1499927552067675,-0.45378544326111164,-2.1816607849091896,-37.539379246508368,0.83999999999999997,0.040758367627859116,-0.017453286279273523,-0.31512878004243844,3.0300844234849915
0.85999999999999999,0.090611090796301141,0,0,0,0.85999999999999999,0.090611090796301141,0,0,0,0.85999999999999999,0.096699973015347496,0,0,0,0.85999999999999999,0.096699973015347496,0,0,0,0.85999999999999999,0.078052771219518036,0.052359858837820572,0.46057283236971763,-1.8180506540909986,0.85999999999999999,0.14046381396474317,-0.069813145117094091,-0.94538634012731537,-9.7299377598573287,0.85999999999999999,0.1092582925921306,0.017453286279273523,-0.33936945543031821,-1.3467041882155513,0.85999999999999999,0.096699973015347496,-0.034906572558547046,-0.8726643139636755,-6.4305124987292386,0.85999999999999999,4.9704696342232637,-0.33161243930619694,-0.65449823547275643,-13.702715115093218,0.85999999999999999,0.090611090796301141,-2.7227126595666697,-10.884063249158062,36.05800463947137,0.85999999999999999,0.096699973015347496,-0.12217300395491468,-0.70297958624851631,-5.5888223810945226,0.85999999999999999,2.5958055687951855,-0.52359858837820572,-3.1270471250365035,-27.270759811364837,0.85999999999999999,0.053316687204642221,-0.017453286279273523,-0.096962701551519495,4.8481350775759742
