Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Angle(rad),Data Set 1:Velocity(rad/s),Data Set 1:Acceleration(rad/s²),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Angle(rad),Data Set 2:Velocity(rad/s),Data Set 2:Acceleration(rad/s²),Data Set 3:Time(s),Data Set 3:Force(N),Data Set 3:Angle(rad),Data Set 3:Velocity(rad/s),Data Set 3:Acceleration(rad/s²),Data Set 4:Time(s),Data Set 4:Force(N),Data Set 4:Angle(rad),Data Set 4:Velocity(rad/s),Data Set 4:Acceleration(rad/s²),Data Set 5:Time(s),Data Set 5:Force(N),Data Set 5:Angle(rad),Data Set 5:Velocity(rad/s),Data Set 5:Acceleration(rad/s²),Data Set 6:Time(s),Data Set 6:Force(N),Data Set 6:Angle(rad),Data Set 6:Velocity(rad/s),Data Set 6:Acceleration(rad/s²),Data Set 7:Time(s),Data Set 7:Force(N),Data Set 7:Angle(rad),Data Set 7:Velocity(rad/s),Data Set 7:Acceleration(rad/s²),Data Set 8:Time(s),Data Set 8:Force(N),Data Set 8:Angle(rad),Data Set 8:Velocity(rad/s),Data Set 8:Acceleration(rad/s²),Data Set 9:Time(s),Data Set 9:Force(N),Data Set 9:Angle(rad),Data Set 9:Velocity(rad/s),Data Set 9:Acceleration(rad/s²),Data Set 10:Time(s),Data Set 10:Force(N),Data Set 10:Angle(rad),Data Set 10:Velocity(rad/s),Data Set 10:Acceleration(rad/s²)
0.92000000000000004,0.096699973015347496,0,0,0,0.92000000000000004,0.6686743464670144,-0.26179929418910286,-2.4725488895637522,5.3531491481567697,0.92000000000000004,4.5724089591531083,-0.48869201581965871,-2.3028641618485923,-43.397542465246175,0.92000000000000004,4.5910561609489378,-0.26179929418910286,-0.55753553392123789,-4.2421181928790093,0.92000000000000004,0.12790549438796006,-0.13962629023418818,-0.65449823547275743,-2.2893971199664622,0.92000000000000004,5.5298856880981475,-0.27925258046837637,0,0.26934083764310562,0.92000000000000004,1.2592959217145108,-0.87266431396367627,-5.2844672345578232,-54.37318159920293,0.92000000000000004,0.10316941037308425,0,0,0,0.92000000000000004,0.040758367627859116,0,-0.096962701551519606,-7.9455547104717574,0.92000000000000004,0.1092582925921306,-0.10471971767564114,-1.0181083662909567,-15.251424931541129
0.93999999999999995,0.096699973015347496,0,0,0,0.93999999999999995,1.2406487199186813,-0.31415915302692343,-2.1816607849091931,12.793689788047779,0.93999999999999995,3.6712543907342479,-0.54105187465747928,-3.3694538789153086,-47.572325448714274,0.93999999999999995,4.9891168360190932,-0.27925258046837637,-0.77570161241215774,-5.5551547763891422,0.93999999999999995,0.14046381396474317,-0.13962629023418818,-0.87266431396367761,-6.3968448940238654,0.93999999999999995,5.7102688238373958,-0.27925258046837637,-0.02424067538787995,-2.6934083764311083,0.93999999999999995,0.53814393389620818,-0.99483731791859087,-6.5207416793396975,-44.171897373469939,0.93999999999999995,0.10316941037308425,0,0,0,0.93999999999999995,0.047227804985595867,0,-0.36361013081819893,-12.086670089234564,0.93999999999999995,0.1092582925921306,-0.12217300395491468,-1.4301998478849152,-23.331650060834392
0.95999999999999996,0.096699973015347496,0,0,0,0.95999999999999996,2.079772800731007,-0.3490657255854705,-1.8422913294788719,14.982084093898052,0.95999999999999996,1.4956206628412474,-0.62831830605384686,-4.2905995436547393,-47.57232544871416,0.95999999999999996,5.3681497541547287,-0.29670586674764993,-0.84842363857579617,-4.2084505881735632,0.95999999999999996,0.18384709977544844,-0.17453286279273525,-1.0908303924545952,-3.1984224470118967,0.95999999999999996,5.7662104292248841,-0.27925258046837637,-0.096962701551519828,-5.0501407058083156,0.95999999999999996,0.25843590695876628,-1.1519168944320526,-7.0055551870972872,-36.630353919462756,0.95999999999999996,0.10316941037308425,0,0,0,0.95999999999999996,0.047227804985595867,-0.017453286279273523,-0.55753553392123745,-17.271481213864398,0.95999999999999996,0.14046381396474317,-0.15707957651346172,-2.08469808335767,-24.712021853755271
0.97999999999999998,0.096699973015347496,0,0,0,0.97999999999999998,2.8694247135135811,-0.38397229814401757,-1.6241252509879516,18.180506540909935,0.97999999999999998,0.63746882509440184,-0.71558473745021445,-5.1147825068426549,-52.790804178049406,0.97999999999999998,5.6665049828880001,-0.31415915302692343,-0.89690498935155516,-4.6124618446382417,0.97999999999999998,0.22723038558615372,-0.19198614907200878,-0.96962701551519503,-1.0773633505724132,0.97999999999999998,5.3746191915124655,-0.27925258046837637,-0.31512878004243905,-3.0974196328957633,0.97999999999999998,0.15264157840283588,-1.2740898983869673,-7.5388500456306424,-47.504990239303368,0.97999999999999998,0.1092582925921306,0,0,0,0.97999999999999998,0.059405569423688576,-0.017453286279273523,-0.99386769090307503,-24.341678201996018,0.97999999999999998,0.22723038558615372,-0.20943943535128229,-2.5695115911152668,-17.439819237391315
1,0.090611090796301141,0,0,0,1,3.4783129354182165,-0.41887887070256458,-1.1877930940061139,23.398985270245145,1,0.2957303105504252,-0.8203044551258557,-6.448019653176047,-54.777192855667352,1,5.9648602116212714,-0.33161243930619694,-0.96962701551519526,-7.9792223151771244,1,0.30181919276947156,-0.20943943535128229,-0.99386769090307459,-4.4104562164059065,1,5.0264112396107521,-0.29670586674764993,-0.31512878004243899,2.7944111905472684,1,0.11534717481117696,-1.4311694749004289,-8.9932905689034346,-53.868167528621889,1,0.1092582925921306,0,0,0,1,0.084522208577254787,-0.052359858837820572,-1.6483659263758315,-25.419041552568455,1,0.44490792491706088,-0.26179929418910286,-2.8846403711577047,-3.9391097505304713
1.02,0.096699973015347496,0,0,0,1.02,4.0069040230591781,-0.43633215698183814,-0.55753553392123756,22.254286710261923,1.02,0.16519989797961898,-0.97738403163931742,-7.5873313964063991,-43.936224140532232,1.02,5.9648602116212714,-0.3490657255854705,-1.2362744447818743,-11.177644762189042,1.02,0.3889663195295725,-0.22689272163055582,-1.2120337693939935,-5.1174759152190781,1.02,5.3932663933082949,-0.29670586674764993,-0.096962701551519703,3.6697689128873789,1.02,0.10316941037308425,-1.6406089102517114,-10.156842987521671,-38.852415830018515,1.02,0.1092582925921306,0,0,0,1.02,0.10316941037308425,-0.087266431396367625,-2.1331794341334289,-20.065892404411656,1.02,1.0728239037562162,-0.33161243930619694,-2.8119183449940657,13.669047510387797
1.04,0.096699973015347496,0,0,0,1.04,4.4045841429906432,-0.43633215698183814,-0.14544405232727939,13.837385533914755,1.04,0.12181661216891371,-1.134463608152779,-8.241829631879158,-30.065171001912137,1.04,5.4427385613380466,-0.38397229814401757,-1.4059591724970328,-15.18408972213029,1.04,0.51949673210037872,-0.26179929418910286,-1.284755795557633,-1.8180506540909962,1.04,5.79094651323976,-0.29670586674764993,-0.048481350775759768,-1.3803717929209274,1.04,0.096699973015347496,-1.8500483456029937,-10.690137846055025,-15.554433373889504,1.04,0.1092582925921306,0,0,0,1.04,0.15911101576057263,-0.13962629023418818,-2.496789564951627,-11.514320809242941,1.04,2.3594808276684489,-0.38397229814401757,-2.2301421356849489,26.058726041970843
1.0600000000000001,0.096699973015347496,0,0,0,1.0600000000000001,4.5724089591531083,-0.43633215698183814,-0.024240675387879926,5.5551547763891369,1.0600000000000001,0.1092582925921306,-1.3089964709455144,-8.7024024642488751,-18.82019103031238,1.0600000000000001,5.1694999717583414,-0.40142558442329107,-1.7938099787031103,-20.772912103224851,1.0600000000000001,0.73717427143128589,-0.27925258046837637,-1.2847557955576334,2.0537238870286885,1.0600000000000001,6.0086240525706671,-0.29670586674764993,-0.12120337693939924,-8.0802251292932841,1.0600000000000001,0.096699973015347496,-2.0769410672335495,-10.690137846055023,3.7034365175927291,1.0600000000000001,0.1092582925921306,0,0,0,1.0600000000000001,0.28964142833137885,-0.19198614907200878,-2.5937522665031469,-2.020056282323349,1.0600000000000001,3.546812860382488,-0.41887887070256458,-1.6483659263758312,31.277204771306085
1.0800000000000001,0.096699973015347496,0,0,0,1.0800000000000001,4.6036144805257209,-0.43633215698183814,0,0.53868167528621902,1.0800000000000001,0.096699973015347496,-1.4835293337382496,-9.0175312442913143,-7.1375321975427228,1.0800000000000001,5.0884417272172868,-0.45378544326111164,-2.2786234864607091,-22.792968385548246,1.0800000000000001,1.0914711055520456,-0.31415915302692343,-1.212033769393994,6.06016884696992,1.0800000000000001,6.188626633171225,-0.29670586674764993,-0.43633215698183747,-11.143977157483677,1.0800000000000001,0.096699973015347496,-2.2863805025848318,-10.253805689073184,8.7199096186953504,1.0800000000000001,0.10316941037308425,0,0,0,1.0800000000000001,0.60017442150274292,-0.24434600790982935,-2.5695115911152673,7.5415434540070097,1.0800000000000001,4.4045841429906432,-0.45378544326111164,-0.89690498935155583,30.334511839555201
1.1000000000000001,0.090611090796301141,0,0,0,1.1000000000000001,4.5975255983066745,-0.43633215698183814,-0.024240675387879895,-2.6597407717257155,1.1000000000000001,0.096699973015347496,-1.6755154828102583,-9.0175312442913249,4.4777914258161671,1.1000000000000001,4.6469977663364261,-0.48869201581965871,-2.8846403711577078,-15.419762955068215,1.1000000000000001,1.6010344362584874,-0.33161243930619694,-0.96962701551519659,6.4641801034345692,1.1000000000000001,6.0953906241920777,-0.31415915302692343,-0.72722026163639653,-6.5315153128454684,1.1000000000000001,0.096699973015347496,-2.4783666516568403,-10.156842987521674,4.477791425815969,1.1000000000000001,0.1092582925921306,0,0,0,1.1000000000000001,1.2779431235103402,-0.29670586674764993,-2.37558618801223,20.065892404411585,1.1000000000000001,4.964000196865527,-0.45378544326111164,-0.24240675387879937,19.392540310303911
